상권_코드_명,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00~06_매출_비율,시간대_06~11_매출_비율,시간대_11~14_매출_비율,시간대_14~17_매출_비율,시간대_17~21_매출_비율,시간대_21~24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율
공릉동 국수거리,편의점,3115100063,475541,14,15,15,13,16,15,13,8,15,12,13,30,22,67,33,1,23,28
공릉동 국수거리,컴퓨터및주변장치판매,350261013,1440,0,93,7,0,0,0,0,0,0,3,3,94,0,100,0,0,0,0
공릉동 국수거리,핸드폰,1760287743,9356,5,14,20,17,19,5,19,0,0,26,44,28,2,32,68,0,19,18
공릉동 국수거리,육류판매,1045875350,40284,12,15,14,13,17,18,12,0,10,25,35,30,1,41,59,0,4,9
공릉동 국수거리,수산물판매,111860400,6329,10,14,9,14,14,28,11,0,13,28,35,25,0,32,68,0,3,5
공릉동 국수거리,청과상,446340356,26015,10,13,17,13,20,16,11,0,11,22,40,25,1,42,58,0,7,16
공릉동 국수거리,반찬가게,3270779368,270578,9,8,14,16,12,22,19,0,8,19,36,37,0,45,55,0,5,11
공릉동 국수거리,일반의류,797920536,12448,12,16,16,15,10,19,12,0,1,26,44,29,0,21,79,0,5,9
공릉동 국수거리,신발,24713792,1005,7,20,18,14,10,14,17,0,7,29,27,37,1,37,63,0,3,11
공릉동 국수거리,안경,209956142,2675,19,12,16,10,14,19,11,0,2,24,35,38,1,44,56,1,14,18
공릉동 국수거리,시계및귀금속,81160306,357,11,16,21,17,15,21,0,0,0,21,58,22,0,22,78,0,0,4
공릉동 국수거리,의약품,4296971213,304868,21,16,17,15,17,13,1,0,19,29,33,19,1,52,48,0,7,13
공릉동 국수거리,의료기기,1476433584,2179,16,20,6,53,4,0,0,0,3,85,8,4,0,94,6,0,1,3
공릉동 국수거리,서적,165309075,1156,16,25,19,31,6,0,3,0,1,34,52,10,3,29,71,0,7,32
공릉동 국수거리,문구,465725527,2419,14,28,17,25,16,0,0,0,11,37,30,23,0,35,65,0,1,2
공릉동 국수거리,화장품,4028630938,22193,27,9,22,16,19,5,3,1,23,24,25,20,8,32,68,0,4,17
공릉동 국수거리,운동/경기용품,7572002,175,0,48,7,7,15,23,0,0,6,61,17,16,0,79,21,0,15,48
공릉동 국수거리,자전거 및 기타운송장비,187813257,1098,7,7,9,23,2,11,42,0,0,40,43,17,0,41,59,0,8,20
공릉동 국수거리,섬유제품,26132875,242,9,0,3,45,36,8,0,0,0,12,7,81,0,37,63,0,3,1
공릉동 국수거리,화초,116361663,4697,14,19,18,7,15,20,8,0,12,29,22,34,3,47,53,2,26,23
공릉동 국수거리,애완동물,34231264,1712,15,13,12,10,13,21,16,0,5,26,40,29,0,37,63,0,7,13
공릉동 국수거리,가구,197037391,403,18,15,17,6,4,30,9,0,3,26,30,34,8,48,52,0,8,13
공릉동 국수거리,가전제품,1343708572,3895,16,9,9,12,9,20,25,0,3,29,40,28,0,50,50,0,7,10
공릉동 국수거리,철물점,1657077152,9498,9,23,21,5,6,29,8,0,7,39,33,21,0,47,53,0,1,13
