서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율
농수산물,992930312,37517,40,60,0,4,8
농수산물,133197044,7473,35,65,0,3,7
농수산물,353271303,26912,38,62,0,7,13
의류/신발,1081410254,21376,20,80,0,5,8
의류/신발,48224005,1723,40,60,0,3,8
생활,237412603,2851,49,51,1,21,16
생활,61800128,339,46,54,0,0,4
의원,4787886717,368684,48,52,0,8,14
의원,1401077475,2923,61,39,0,0,2
서적/문구,62236496,645,18,82,0,13,4
서적/문구,672194511,2324,31,69,0,2,2
미용,7147147015,35942,31,69,0,3,14
스포츠,26745754,333,81,20,0,21,23
생활,934073191,3315,51,49,0,2,12
생활,1371445895,8557,45,55,0,5,12
생활,113084625,2025,64,36,0,10,11
생활,315953852,491,25,75,0,0,20
음식점,12525616853,429741,62,38,1,16,18
음식점,336937645,16481,62,38,1,17,18
음식점,255587990,7795,55,45,2,32,16
음식점,228949485,12416,53,48,3,24,19
제과/음료,1095680371,109358,45,55,1,19,20
음식점,362969650,30450,54,47,2,29,17
음식점,637848608,33689,62,38,2,23,18
음식점,1151122350,115300,52,49,1,18,20
호프-간이주점,1386897907,35753,62,38,2,42,17
제과/음료,1408088417,183125,40,60,3,46,21
학원,678988834,2250,50,50,0,0,4
학원,403010759,1709,49,52,0,0,22
학원,252297828,1546,31,69,2,24,8
스포츠,116282562,625,30,70,0,8,32
의원,2898266287,156685,44,56,0,7,19
의원,2170653745,16791,44,56,0,6,14
의원,390387996,11944,39,61,0,2,10
여가,51183760,3579,87,13,2,21,8
스포츠,44241187,1512,89,12,0,3,11
여가,608644626,127400,90,10,3,72,15
미용,494006723,12921,37,63,1,12,21
미용,14384512,93,0,100,0,0,3
미용,82964571,392,67,33,0,4,45
생활,366803943,21243,33,67,0,10,18
생활,194203927,5640,80,20,0,0,42
여가,426844172,15594,81,19,3,23,14
마트/편의점,2502990490,189346,49,51,0,11,15
마트/편의점,3219981531,518112,69,31,1,32,23
생활,47631252,509,0,100,0,0,0
생활,91910583,4476,71,30,0,8,33
농수산물,1636577072,52030,40,60,0,4,13
농수산물,254671540,11938,40,60,0,7,9
농수산물,490058389,32748,35,65,0,5,11
의류/신발,968883908,13220,18,82,0,7,7
의류/신발,48224005,1723,40,60,0,3,8
생활,216324983,2726,49,51,1,21,15
생활,73311906,368,40,60,0,0,9
의원,2011363136,205731,51,49,0,8,16
의원,99706216,368,56,44,0,0,1
서적/문구,7501444,459,26,75,2,32,26
서적/문구,506788318,4292,13,87,1,3,5
미용,7379837695,35298,30,70,0,4,14
생활,934073191,3315,51,49,0,2,12
생활,155867865,6135,53,47,0,5,42
생활,301795436,5751,60,40,0,4,12
생활,3701251,370,48,52,0,0,0
음식점,3306316712,139116,61,39,2,27,17
음식점,183012724,9981,51,49,3,28,17
음식점,198856267,4515,58,43,1,24,21
음식점,146939079,4915,44,56,3,31,17
제과/음료,535066388,53117,46,54,2,23,20
음식점,747523979,59813,51,49,4,32,19
음식점,337794061,16171,58,42,2,26,16
음식점,452157618,34864,51,49,3,24,19
호프-간이주점,680055386,19036,61,39,4,59,18
